종목코드,종목명,Market,WICS,Change
011080,형지I&C,KQ,"섬유,의류,신발,호화품",18.26
082270,젬백스,KQ,반도체와반도체장비,7.58
263860,지니언스,KQ,소프트웨어,6.78
006920,모헨즈,KQ,건축자재,10.66
475960,토모큐브,KQ,생명과학도구및서비스,19.0
194700,노바렉스,KQ,제약,10.39
011690,와이투솔루션,KOSPI,디스플레이장비및부품,15.6
119500,포메탈,KQ,기계,29.93
035460,기산텔레콤,KQ,통신장비,3.93
299170,더블유에스아이,KQ,제약,4.18
192440,슈피겐코리아,KQ,핸드셋,0.57
099220,SDN,KQ,에너지장비및서비스,1.42
134790,시디즈,KOSPI,가구,5.07
424980,마이크로투나노,KQ,반도체와반도체장비,15.9
058860,KTis,KOSPI,상업서비스와공급품,13.31
328380,솔트웨어,KQ,IT서비스,1.89
408920,메쎄이상,KQ,양방향미디어와서비스,2.3
446070,유니드비티플러스,KOSPI,화학,1.17
234690,녹십자웰빙,KQ,제약,20.05
054930,유신,KQ,건설,4.64
038010,제일테크노스,KQ,건축제품,6.67
004890,동일산업,KOSPI,철강,-0.47
461300,아이스크림미디어,KQ,교육서비스,-0.51
023450,동남합성,KOSPI,화학,-0.15
006910,보성파워텍,KQ,전기장비,1.53
007530,와이엠,KQ,자동차부품,2.35
243070,휴온스,KQ,제약,7.91
009770,삼정펄프,KOSPI,가정용품,0.38
004870,티웨이홀딩스,KOSPI,건축자재,7.08
080520,오디텍,KQ,반도체와반도체장비,3.57
078070,유비쿼스홀딩스,KQ,통신장비,-0.2
063160,종근당바이오,KOSPI,제약,-0.65
107590,미원홀딩스,KOSPI,화학,0.81
058850,KTcs,KOSPI,상업서비스와공급품,3.07
046440,KG모빌리언스,KQ,IT서비스,0.83
275630,에스에스알,KQ,소프트웨어,0.96
041190,우리기술투자,KQ,창업투자,4.37
053260,금강철강,KQ,철강,1.49
100030,인지소프트,KQ,소프트웨어,-1.2
044380,주연테크,KOSPI,컴퓨터와주변기기,-1.66
299660,셀리드,KQ,생물공학,12.43
065530,와이어블,KQ,무선통신서비스,2.93
361670,삼영에스앤씨,KQ,전자장비와기기,2.63
220180,핸디소프트,KQ,소프트웨어,3.57
191420,테고사이언스,KQ,생물공학,1.34
271830,팸텍,KQ,핸드셋,17.95
290670,대보마그네틱,KQ,전기제품,29.92
036710,심텍홀딩스,KQ,전자장비와기기,-1.92
264850,이랜시스,KQ,전자장비와기기,4.44
060570,드림어스컴퍼니,KQ,방송과엔터테인먼트,3.33
464580,닷밀,KQ,방송과엔터테인먼트,4.0
360070,탑머티리얼,KQ,전자장비와기기,5.98
088130,동아엘텍,KQ,디스플레이장비및부품,-1.64
101730,위메이드맥스,KQ,게임엔터테인먼트,-14.0
112040,위메이드,KQ,게임엔터테인먼트,-17.45
051780,큐로홀딩스,KQ,식품,7.64
192410,오늘이엔엠,KQ,통신장비,30.0
058450,한주에이알티,KQ,비철금속,14.52
